group,models,n_examples,share_all_correct,share_all_wrong,share_any_correct,share_decidable,best_fixed_acc,oracle_acc,oracle_gap_pp
mistral_minimax,"mistral_nemo,minimax_m3",787,0.4701397712833545,0.19695044472681067,0.8030495552731893,0.33290978398983484,0.6709021601016518,0.8030495552731893,13.21473951715375
mistral_ring,"mistral_nemo,ring_1t",787,0.34561626429479037,0.24650571791613723,0.7534942820838628,0.4078780177890724,0.6709021601016518,0.7534942820838628,8.2592121982211
ring_minimax,"ring_1t,minimax_m3",787,0.3748411689961881,0.3443456162642948,0.6556543837357052,0.28081321473951715,0.602287166454892,0.6556543837357052,5.336721728081317
mistral_granite,"mistral_nemo,granite_8b",787,0.6048284625158831,0.08894536213468869,0.9110546378653113,0.3062261753494282,0.8449809402795425,0.9110546378653113,6.607369758576875
gemini_flash_mistral,"gemini_flash,mistral_nemo",787,0.6124523506988564,0.0698856416772554,0.9301143583227446,0.3176620076238882,0.8716645489199492,0.9301143583227446,5.844980940279543
mistral_qwen,"mistral_nemo,qwen_30b",787,0.6340533672172808,0.06480304955527319,0.9351969504447268,0.301143583227446,0.8983481575603558,0.9351969504447268,3.684879288437104
triple_weak,"mistral_nemo,minimax_m3,ring_1t",787,0.312579415501906,0.17662007623888182,0.8233799237611181,0.5108005082592122,0.6709021601016518,0.8233799237611181,15.247776365946631
triple_weak_safety,"mistral_nemo,minimax_m3,granite_8b",787,0.4536213468869123,0.08132147395171538,0.9186785260482846,0.4650571791613723,0.8449809402795425,0.9186785260482846,7.369758576874208
triple_weak_strong,"mistral_nemo,minimax_m3,qwen_30b",787,0.4625158831003812,0.05844980940279543,0.9415501905972046,0.47903430749682335,0.8983481575603558,0.9415501905972046,4.3202033036848775
