group,models,policy,accuracy_mean,accuracy_std,avg_cost_mean
gemini_flash_lite_granite_8b,"gemini_flash_lite,granite_8b",linear_svm_router,0.9111675126903553,0.019716226721632788,0.00010510073604060915
gemini_flash_lite_granite_8b,"gemini_flash_lite,granite_8b",knn_router,0.9292724196277496,0.02012582507137031,0.00012187445854483924
gemini_flash_lite_granite_8b,"gemini_flash_lite,granite_8b",decision_tree_router,0.8996615905245346,0.020894771233255706,8.177822335025381e-05
gemini_flash_lite_granite_8b,"gemini_flash_lite,granite_8b",random_forest_router,0.9240270727580372,0.019704205547298813,0.00011768173434856176
gemini_flash_lite_granite_8b,"gemini_flash_lite,granite_8b",extra_trees_router,0.9140439932318105,0.01899006569879828,0.00011335551607445008
gemini_flash_qwen_30b,"gemini_flash,qwen_30b",always_gemini_flash,0.8769881556683587,0.024020374307983944,0.00018964697123519458
gemini_flash_qwen_30b,"gemini_flash,qwen_30b",always_qwen_30b,0.8998307952622674,0.019129917511367396,2.531397394247039e-05
gemini_flash_qwen_30b,"gemini_flash,qwen_30b",random,0.88917089678511,0.02497783999607786,0.00010706440514382404
gemini_flash_qwen_30b,"gemini_flash,qwen_30b",oracle,0.9414551607445009,0.01821632213183062,0.0001782232110321489
gemini_flash_qwen_30b,"gemini_flash,qwen_30b",logistic_router,0.9023688663282571,0.019257222809719476,0.00014693623932318103
gemini_flash_qwen_30b,"gemini_flash,qwen_30b",linear_svm_router,0.8928934010152285,0.020232235944009594,0.00015496823587140442
gemini_flash_qwen_30b,"gemini_flash,qwen_30b",knn_router,0.8786802030456852,0.023408401028632637,0.00018613250159052453
gemini_flash_qwen_30b,"gemini_flash,qwen_30b",decision_tree_router,0.8967851099830796,0.02433823865408042,0.0001559365256175973
gemini_flash_qwen_30b,"gemini_flash,qwen_30b",random_forest_router,0.9033840947546531,0.021390667356625603,0.00016740942700507614
gemini_flash_qwen_30b,"gemini_flash,qwen_30b",extra_trees_router,0.9055837563451777,0.0201111035237407,0.00015370026551607445
gemini_flash_llama_70b,"gemini_flash,llama_70b",always_gemini_flash,0.8769881556683587,0.024020374307983944,0.00018964697123519458
gemini_flash_llama_70b,"gemini_flash,llama_70b",always_llama_70b,0.8950930626057529,0.020837285042776554,5.354493147208122e-05
gemini_flash_llama_70b,"gemini_flash,llama_70b",random,0.8868020304568528,0.027194102001987554,0.0001215555385786802
gemini_flash_llama_70b,"gemini_flash,llama_70b",oracle,0.9458544839255498,0.019008772056017073,0.00017961870253807105
