group,models,best_fixed,fixed_acc_mean,fixed_acc_std,best_learned,learned_acc_mean,learned_acc_std,gain_pp,oracle_acc_mean,headroom_pp
gemini_flash_llama,"gemini_flash,llama_70b",always_llama_70b,0.895093062605753,0.02083728504277656,extra_trees_router,0.9101522842639596,0.020701099168484817,1.50592216582065,0.9458544839255499,5.076142131979688
gemini_flash_granite,"gemini_flash,granite_8b",always_gemini_flash,0.8769881556683589,0.02402037430798395,random_forest_router,0.8851099830795264,0.020672464948860762,0.8121827411167515,0.9253807106598984,4.83925549915395
llama_granite,"llama_70b,granite_8b",always_llama_70b,0.895093062605753,0.02083728504277656,linear_svm_router,0.8967851099830797,0.021091579965664353,0.16920473773266442,0.9431472081218273,4.805414551607424
qwen_llama,"qwen_30b,llama_70b",always_qwen_30b,0.8998307952622676,0.0191299175113674,decision_tree_router,0.9006768189509309,0.023153968158862757,0.08460236886632666,0.9461928934010152,4.636209813874759
llama_deepseek,"llama_70b,deepseek_v3",always_deepseek_v3,0.9071065989847719,0.020046938994475155,linear_svm_router,0.9074450084602369,0.021148374934830926,0.03384094754650402,0.9500846023688659,4.297800338409408
gemini_lite_granite,"gemini_flash_lite,granite_8b",always_gemini_flash_lite,0.9292724196277494,0.02012582507137031,knn_router,0.9292724196277494,0.02012582507137031,0.0,0.9592216582064296,2.994923857868015
