policy,accuracy,avg_cost,utility,regret,route_acc
always_cheap_direct,0.68,1.0,0.6300000000000002,0.13866666666666666,0.7866666666666666
always_strong_reasoning,0.8533333333333334,8.0,0.4533333333333334,0.3153333333333334,0.21333333333333335
random,0.7333333333333333,4.453333333333333,0.5106666666666666,0.258,0.4266666666666667
oracle,0.8933333333333333,2.493333333333333,0.7686666666666668,0.0,1.0
logistic_router,0.72,2.493333333333333,0.5953333333333335,0.17333333333333337,0.6533333333333333
random_forest_router,0.7466666666666667,2.12,0.6406666666666668,0.12800000000000003,0.76
mlp_router,0.68,1.3733333333333333,0.6113333333333334,0.15733333333333335,0.7333333333333333
tfidf_logistic_router,0.68,1.7466666666666666,0.5926666666666668,0.17600000000000002,0.68
tfidf_mlp_router,0.68,1.3733333333333333,0.6113333333333335,0.15733333333333335,0.7333333333333333
