group,models,policy,n_seeds,n_decidable_mean,decidable_share_mean,acc_full_mean,acc_full_std,acc_decidable_mean,acc_decidable_std,decidable_lift_pp_mean,decidable_lift_pp_std,router_disagrees_share_mean,router_correct_when_disagrees_mean
gemini_flash_granite,"gemini_flash,granite_8b",always_gemini_flash,26,25.53846153846154,0.1296368606013276,0.8807106598984772,0.023250725869236103,0.6502581046070218,0.06149929722709549,0.0,0.0,0.0,
gemini_flash_granite,"gemini_flash,granite_8b",always_granite_8b,4,22.25,0.11294416243654823,0.8743654822335025,0.004860036079981363,0.5947742474916388,0.043379824895343845,0.0,0.0,0.0,
gemini_flash_granite,"gemini_flash,granite_8b",decision_tree_router,30,25.1,0.12741116751269035,0.8683587140439932,0.021982698115262152,0.5461804716017673,0.09899635347404709,-9.667978538987008,10.817051748940237,0.35346869712351947,0.7973492474291396
gemini_flash_granite,"gemini_flash,granite_8b",extra_trees_router,30,25.1,0.12741116751269035,0.8825719120135365,0.022375301167442865,0.6607498337306149,0.0713300628177624,1.7889576738977593,7.247610873154526,0.29424703891708964,0.8019525852584125
gemini_flash_granite,"gemini_flash,granite_8b",knn_router,30,25.1,0.12741116751269035,0.8769881556683587,0.024020374307983944,0.6175871243272003,0.10311378755533422,-2.5273132664437012,7.12291835911725,0.133502538071066,0.682233502538071
gemini_flash_granite,"gemini_flash,granite_8b",linear_svm_router,30,25.1,0.12741116751269035,0.8639593908629443,0.02302762678551393,0.5127389492038898,0.08917819784727683,-13.012130778774749,8.102481899435311,0.24619289340101522,0.7680373371060462
gemini_flash_granite,"gemini_flash,granite_8b",logistic_router,30,25.1,0.12741116751269035,0.8673434856175973,0.022963228128227174,0.5399291156511404,0.08272631969067734,-10.293114134049693,9.303260598482881,0.29018612521150594,0.7608465157007891
gemini_flash_granite,"gemini_flash,granite_8b",mlp_router,30,25.1,0.12741116751269035,0.8759729272419627,0.02379739658873554,0.6093620940842279,0.10065436993240454,-3.3498162907409457,7.905599862778553,0.15820642978003382,0.7394378927438919
gemini_flash_granite,"gemini_flash,granite_8b",oracle,30,25.1,0.12741116751269035,0.9253807106598985,0.017131250349140453,1.0,0.0,35.71397430083626,6.183166963645103,0.1637901861252115,
gemini_flash_granite,"gemini_flash,granite_8b",random_forest_router,30,25.1,0.12741116751269035,0.8842639593908629,0.021880063013730095,0.676825274173336,0.07428358637386107,3.3965017181698727,7.0821841590162995,0.21455160744500848,0.7504128352313241
gemini_flash_granite,"gemini_flash,granite_8b",tfidf_linear_svm_router,30,25.1,0.12741116751269035,0.872927241962775,0.023527033969641183,0.5843625866611258,0.0948226826041864,-5.849767033051154,6.666700811542448,0.15008460236886634,0.6660955628935925
