group,models,best_fixed,fixed_acc_mean,fixed_acc_std,best_learned,learned_acc_mean,learned_acc_std,gain_pp,oracle_acc_mean,headroom_pp,fraction_of_oracle_captured
gemini_flash_mistral,"gemini_flash,mistral_nemo",always_gemini_flash,0.8769881556683587,0.024020374307983944,random_forest_router,0.8847715736040609,0.020914606252453973,0.7783417935702142,0.9348561759729273,5.78680203045685,0.13450292397660715
triple_weak,"mistral_nemo,minimax_m3,ring_1t",always_mistral_nemo,0.6697123519458544,0.02796038887893675,tfidf_mlp_router,0.673434856175973,0.02945831879193138,0.37225042301185507,0.8289340101522843,15.922165820642986,0.023379383634432115
mistral_minimax,"mistral_nemo,minimax_m3",always_mistral_nemo,0.6697123519458544,0.02796038887893675,tfidf_mlp_router,0.672419627749577,0.028301510237984426,0.2707275803722542,0.8082910321489002,13.857868020304576,0.019536019536019793
mistral_ring,"mistral_nemo,ring_1t",always_mistral_nemo,0.6697123519458544,0.02796038887893675,knn_router,0.6695431472081218,0.02800537150565401,-0.01692047377326311,0.7570219966159052,8.730964467005077,-0.0019379844961237424
ring_minimax,"ring_1t,minimax_m3",always_minimax_m3,0.606429780033841,0.02552848050381041,logistic_router,0.5549915397631133,0.02945831879193136,-5.143824027072763,0.661082910321489,5.465313028764807,-0.9411764705882365
mistral_granite,"mistral_nemo,granite_8b",always_granite_8b,0.8463620981387479,0.02522033466290163,decision_tree_router,0.7834179357021996,0.024592462419599566,-6.294416243654821,0.9160744500846024,6.971235194585457,-0.9029126213592215
mistral_qwen,"mistral_nemo,qwen_30b",always_qwen_30b,0.8998307952622674,0.019129917511367396,decision_tree_router,0.8021996615905245,0.029402465956441675,-9.763113367174292,0.939424703891709,3.9593908629441565,-2.465811965811978
triple_weak_safety,"mistral_nemo,minimax_m3,granite_8b",always_granite_8b,0.8463620981387479,0.02522033466290163,decision_tree_router,0.71082910321489,0.048257578266788566,-13.553299492385785,0.9243654822335026,7.800338409475471,-1.7375271149674603
triple_weak_strong,"mistral_nemo,minimax_m3,qwen_30b",always_qwen_30b,0.8998307952622674,0.019129917511367396,random_forest_router,0.7416243654822334,0.026805782932471614,-15.820642978003397,0.9455160744500846,4.568527918781717,-3.4629629629629766
