bucket,group,models,feature_set,policy,accuracy_mean,accuracy_std,utility_mean,regret_mean,avg_cost_mean,route_acc_mean,n_seeds
no_dominator,triple_gemini_qwen_llama,"gemini_flash,qwen_30b,llama_70b",metadata+cheap_probe+tfidf,always_gemini_flash,0.8769881556683589,0.02402037430798395,0.8769881556683589,0.0862944162436548,0.0001896469712351946,0.9137055837563454,30
no_dominator,triple_gemini_qwen_llama,"gemini_flash,qwen_30b,llama_70b",metadata+cheap_probe+tfidf,always_qwen_30b,0.8998307952622676,0.0191299175113674,0.8998307952622676,0.06345177664974619,2.531397394247039e-05,0.06446700507614213,30
no_dominator,triple_gemini_qwen_llama,"gemini_flash,qwen_30b,llama_70b",metadata+cheap_probe+tfidf,always_llama_70b,0.895093062605753,0.02083728504277656,0.895093062605753,0.06818950930626058,5.354493147208122e-05,0.021827411167512686,30
no_dominator,triple_gemini_qwen_llama,"gemini_flash,qwen_30b,llama_70b",metadata+cheap_probe+tfidf,random,0.8959390862944162,0.02438990257650287,0.8959390862944162,0.0673434856175973,8.961121800338411e-05,0.33350253807106606,30
no_dominator,triple_gemini_qwen_llama,"gemini_flash,qwen_30b,llama_70b",metadata+cheap_probe+tfidf,oracle,0.9632825719120134,0.015063187384246347,0.9632825719120134,0.0,0.00017483935857868021,1.0,30
no_dominator,triple_gemini_qwen_llama,"gemini_flash,qwen_30b,llama_70b",metadata+cheap_probe+tfidf,logistic_router,0.88917089678511,0.022269820855600635,0.88917089678511,0.07411167512690356,0.00014374653773265654,0.6686971235194586,30
no_dominator,triple_gemini_qwen_llama,"gemini_flash,qwen_30b,llama_70b",metadata+cheap_probe+tfidf,linear_svm_router,0.878849407783418,0.022768939328771092,0.878849407783418,0.08443316412859558,0.00017720409174280875,0.8489001692047377,30
no_dominator,triple_gemini_qwen_llama,"gemini_flash,qwen_30b,llama_70b",metadata+cheap_probe+tfidf,knn_router,0.8769881556683589,0.02402037430798395,0.8769881556683589,0.0862944162436548,0.00018876811411167513,0.9125211505922167,30
no_dominator,triple_gemini_qwen_llama,"gemini_flash,qwen_30b,llama_70b",metadata+cheap_probe+tfidf,decision_tree_router,0.8910321489001694,0.02265156615799914,0.8910321489001694,0.07225042301184434,0.00013478466984771575,0.6069373942470389,30
no_dominator,triple_gemini_qwen_llama,"gemini_flash,qwen_30b,llama_70b",metadata+cheap_probe+tfidf,random_forest_router,0.9025380710659899,0.0220015523595915,0.9025380710659899,0.06074450084602369,0.00016811178362098134,0.8455160744500845,30
no_dominator,triple_gemini_qwen_llama,"gemini_flash,qwen_30b,llama_70b",metadata+cheap_probe+tfidf,extra_trees_router,0.9045685279187818,0.021178463461376706,0.9045685279187818,0.0587140439932318,0.00014997665170896787,0.7350253807106599,30
no_dominator,triple_gemini_qwen_llama,"gemini_flash,qwen_30b,llama_70b",metadata+cheap_probe+tfidf,mlp_router,0.8830795262267344,0.021307429474178966,0.8830795262267344,0.0802030456852792,0.00017939442470389172,0.8705583756345178,30
no_dominator,triple_gemini_qwen_llama,"gemini_flash,qwen_30b,llama_70b",metadata+cheap_probe+tfidf,tfidf_logistic_router,0.8851099830795263,0.02283712842995742,0.8851099830795263,0.07817258883248733,0.0001654251501522842,0.8,30
