router,train_acc_mean,test_acc_mean,gap_mean,gap_std
random_forest_router,0.9183050847457628,0.9121827411167512,0.006122343629011417,0.022740258542005908
extra_trees_router,0.9310169491525423,0.9116751269035532,0.01934182224898907,0.019598864528642703
decision_tree_router,0.9101694915254237,0.9055837563451776,0.004585735180246064,0.025742818768892683
logistic_router,0.908813559322034,0.9050761421319796,0.003737417190054204,0.02199921374171725
linear_svm_router,0.9235593220338982,0.899492385786802,0.02406693624709627,0.019772779488177426
mlp_router,0.9386440677966101,0.8903553299492385,0.04828873784737159,0.020188920636680843
knn_router,0.9389830508474576,0.8796954314720813,0.059287619375376424,0.02025696916887157
