group,models,n_seeds,policy,accuracy_mean,accuracy_std,utility_mean,regret_mean,avg_cost_mean,route_acc_mean
mistral_minimax,"mistral_nemo,minimax_m3",30,always_mistral_nemo,0.6697123519458544,0.02796038887893675,0.6697123519458544,0.1385786802030457,7.023673434856175e-06,0.8614213197969544
mistral_minimax,"mistral_nemo,minimax_m3",30,always_minimax_m3,0.606429780033841,0.02552848050381041,0.606429780033841,0.2018612521150592,0.0002066131878172589,0.1385786802030457
mistral_minimax,"mistral_nemo,minimax_m3",30,random,0.639932318104907,0.028743861706807834,0.639932318104907,0.16835871404399325,0.0001077732013536379,0.495093062605753
mistral_minimax,"mistral_nemo,minimax_m3",30,oracle,0.8082910321489002,0.024963606931626022,0.8082910321489002,0.0,3.383889001692048e-05,1.0
mistral_minimax,"mistral_nemo,minimax_m3",30,logistic_router,0.6565143824027072,0.03296012203672758,0.6565143824027072,0.1517766497461929,6.824679187817258e-05,0.6854483925549916
mistral_minimax,"mistral_nemo,minimax_m3",30,linear_svm_router,0.6522842639593909,0.03036189175337243,0.6522842639593909,0.15600676818950932,6.016979187817259e-05,0.7040609137055838
mistral_minimax,"mistral_nemo,minimax_m3",30,knn_router,0.6698815566835871,0.02804130565248986,0.6698815566835871,0.13840947546531304,7.3038764805414555e-06,0.860067681895093
mistral_minimax,"mistral_nemo,minimax_m3",30,decision_tree_router,0.6477157360406092,0.03139349770845409,0.6477157360406092,0.16057529610829102,9.613057360406093e-05,0.5604060913705583
mistral_minimax,"mistral_nemo,minimax_m3",30,random_forest_router,0.665482233502538,0.026772615655561865,0.665482233502538,0.1428087986463621,3.5484680203045684e-05,0.7908629441624365
mistral_minimax,"mistral_nemo,minimax_m3",30,extra_trees_router,0.6538071065989848,0.029369710030440692,0.6538071065989848,0.15448392554991539,5.6933142131979694e-05,0.7208121827411168
mistral_minimax,"mistral_nemo,minimax_m3",30,mlp_router,0.6705583756345177,0.029277292669336822,0.6705583756345177,0.1377326565143824,2.5047147208121827e-05,0.8111675126903554
mistral_minimax,"mistral_nemo,minimax_m3",30,tfidf_logistic_router,0.659560067681895,0.03114724068020078,0.659560067681895,0.14873096446700507,4.5446236886632826e-05,0.7549915397631133
mistral_minimax,"mistral_nemo,minimax_m3",30,tfidf_linear_svm_router,0.6698815566835871,0.031305162947545755,0.6698815566835871,0.13840947546531304,2.354003891708968e-05,0.8201353637901861
mistral_minimax,"mistral_nemo,minimax_m3",30,tfidf_mlp_router,0.672419627749577,0.028301510237984426,0.672419627749577,0.1358714043993232,1.584667851099831e-05,0.8390862944162437
mistral_ring,"mistral_nemo,ring_1t",30,always_mistral_nemo,0.6697123519458544,0.02796038887893675,0.6697123519458544,0.08730964467005076,7.023673434856175e-06,0.9126903553299492
mistral_ring,"mistral_nemo,ring_1t",30,always_ring_1t,0.4372250423011844,0.03156661109161259,0.4372250423011844,0.3197969543147208,9.743836294416243e-05,0.08730964467005076
