family,config,is_reference,train_acc_mean,test_acc_mean,test_acc_std,gap_pp
decision_tree,"depth=3, msl=2",False,0.9105084745762712,0.9106598984771572,0.015923235676505713,-0.015142390088607183
decision_tree,"depth=3, msl=5",False,0.9098305084745762,0.9116751269035532,0.016243654822335033,-0.1844618428976985
decision_tree,"depth=3, msl=10",False,0.9091525423728812,0.9096446700507613,0.02139219036112233,-0.049212767788009426
decision_tree,"depth=6, msl=2",False,0.9233898305084747,0.9055837563451776,0.014920749702232557,1.7806074163297048
decision_tree,"depth=6, msl=5",True,0.9227118644067798,0.9065989847715736,0.022381124553348817,1.6112879635206134
decision_tree,"depth=6, msl=10",False,0.9179661016949152,0.9055837563451778,0.024576078044487717,1.2382345349737367
decision_tree,"depth=10, msl=2",False,0.9338983050847457,0.899492385786802,0.015194547763549004,3.4405919297943677
decision_tree,"depth=10, msl=5",False,0.9288135593220339,0.9045685279187818,0.02256457946283538,2.424503140325207
decision_tree,"depth=10, msl=10",False,0.923050847457627,0.9065989847715737,0.021440316834459794,1.6451862686053254
decision_tree,"depth=None, msl=2",False,0.9359322033898305,0.899492385786802,0.016180078629958614,3.64398176030285
decision_tree,"depth=None, msl=5",False,0.9294915254237287,0.9065989847715736,0.02191576969027704,2.289254065215507
decision_tree,"depth=None, msl=10",False,0.923050847457627,0.9065989847715737,0.021440316834459794,1.6451862686053254
random_forest,"n=100, msl=2",False,0.927457627118644,0.9167512690355328,0.012267051749842208,1.0706358083111156
random_forest,"n=100, msl=3",False,0.9203389830508474,0.9177664974619288,0.010839673352316054,0.25724855889185383
random_forest,"n=100, msl=5",False,0.9166101694915255,0.9197969543147207,0.012598653447706462,-0.3186784823195232
random_forest,"n=300, msl=2",False,0.9261016949152543,0.9167512690355331,0.011839496233188428,0.9350425879721236
random_forest,"n=300, msl=3",True,0.9203389830508474,0.918781725888325,0.013236959198381018,0.15572571625224185
random_forest,"n=300, msl=5",False,0.9155932203389829,0.9208121827411168,0.011395910822661752,-0.521896240213382
random_forest,"n=500, msl=2",False,0.9257627118644068,0.915736040609137,0.01226705174984221,1.0026671255269792
random_forest,"n=500, msl=3",False,0.9210169491525424,0.918781725888325,0.013236959198381018,0.2235223264217434
random_forest,"n=500, msl=5",False,0.9149152542372881,0.919796954314721,0.011752118683035766,-0.4881700077432827
extra_trees,"n=100, msl=1",False,0.9366101694915254,0.8852791878172589,0.013080303275863082,5.1330981674266525
extra_trees,"n=100, msl=2",False,0.9288135593220339,0.9187817258883249,0.012012344737258112,1.0031833433709059
extra_trees,"n=100, msl=5",False,0.9179661016949152,0.9197969543147207,0.011752118683035766,-0.18308526198055342
extra_trees,"n=500, msl=1",False,0.9366101694915254,0.8862944162436548,0.011839496233188463,5.031575324787063
extra_trees,"n=500, msl=2",True,0.9294915254237288,0.9197969543147207,0.011752118683035766,0.9694571109008066
extra_trees,"n=500, msl=5",False,0.9199999999999999,0.9197969543147207,0.011752118683035766,0.020304568527917954
extra_trees,"n=1000, msl=1",False,0.9366101694915254,0.8862944162436548,0.011839496233188463,5.031575324787063
extra_trees,"n=1000, msl=2",False,0.9294915254237288,0.9208121827411168,0.01183949623318843,0.8679342682612057
extra_trees,"n=1000, msl=5",False,0.9203389830508476,0.9197969543147207,0.011752118683035766,0.05420287361268539
knn,k=5,False,0.9366101694915254,0.8862944162436548,0.011839496233188463,5.031575324787063
knn,k=10,False,0.9366101694915254,0.8842639593908629,0.01414049571287727,5.234621010066254
knn,k=15,True,0.9366101694915254,0.883248730964467,0.01362071864466876,5.336143852705844
knn,k=25,False,0.9366101694915254,0.883248730964467,0.01362071864466876,5.336143852705844
knn,k=50,False,0.9366101694915254,0.883248730964467,0.01362071864466876,5.336143852705844
mlp,"hidden=(32,), alpha=0.0001",False,0.9271186440677965,0.8944162436548224,0.014500362291457571,3.270240041297412
mlp,"hidden=(32,), alpha=0.001",False,0.9261016949152543,0.8944162436548224,0.014500362291457571,3.1685451260431874
mlp,"hidden=(32,), alpha=0.01",False,0.9267796610169491,0.8923857868020304,0.016180078629958586,3.4393874214918685
mlp,"hidden=(64, 32), alpha=0.0001",False,0.9352542372881356,0.8954314720812183,0.009414841112178376,3.98227652069173
mlp,"hidden=(64, 32), alpha=0.001",True,0.9352542372881356,0.8944162436548224,0.008733325144205703,4.08379936333132
mlp,"hidden=(64, 32), alpha=0.01",False,0.934915254237288,0.8934010152284264,0.010152284263959387,4.151423900886164
mlp,"hidden=(128, 64), alpha=0.0001",False,0.936271186440678,0.900507614213198,0.009947166468155038,3.5763572227479945
mlp,"hidden=(128, 64), alpha=0.001",False,0.936271186440678,0.899492385786802,0.009843004786632137,3.6778800653875954
mlp,"hidden=(128, 64), alpha=0.01",False,0.9355932203389831,0.899492385786802,0.009843004786632137,3.610083455218105
logistic,C=0.1,False,0.9054237288135594,0.9126903553299492,0.01377122839213252,-0.7266626516389874
logistic,C=1.0,True,0.9223728813559322,0.9035532994923858,0.016052170863798888,1.8819581863546375
logistic,C=10.0,False,0.9261016949152543,0.8974619289340101,0.01618007862995862,2.863976598124418
linear_svm,C=0.1,False,0.9227118644067798,0.9035532994923858,0.016988020843331487,1.9158564914393938
linear_svm,C=1.0,True,0.9257627118644068,0.8954314720812183,0.019422463421024345,3.0331239783188524
linear_svm,C=10.0,False,0.9284745762711865,0.8944162436548224,0.016180078629958586,3.405833261636404
