cost_weight,policy,accuracy_mean,accuracy_std,avg_cost_mean,utility_mean,regret_mean,route_acc_mean,n_seeds
0.0,always_gemini_flash_lite,0.9345177664974619,0.015773294330181282,0.21450994404140653,0.9345177664974619,0.04416243654822335,0.9558375634517766,10
0.0,always_gemini_flash,0.8766497461928934,0.01675895839514637,0.33610041221406656,0.8766497461928934,0.10203045685279188,0.017766497461928935,10
0.0,always_qwen_30b,0.8974619289340101,0.01654403595476185,0.044282710859242076,0.8974619289340101,0.08121827411167512,0.011675126903553299,10
0.0,always_llama_70b,0.8964467005076141,0.01976149078938265,0.09533566256825737,0.8964467005076141,0.08223350253807107,0.008629441624365481,10
0.0,always_deepseek_v3,0.9050761421319796,0.013333934554886993,0.12467466948120831,0.9050761421319796,0.07360406091370557,0.003045685279187817,10
0.0,always_granite_8b,0.8421319796954314,0.015219023229623586,0.02809467574629257,0.8421319796954314,0.13654822335025382,0.003045685279187817,10
0.0,random,0.8878172588832488,0.017330067856608285,0.14072933857084885,0.8878172588832488,0.09086294416243655,0.15025380710659897,10
0.0,oracle,0.9786802030456853,0.010913377662671461,0.2140754616939934,0.9786802030456853,0.0,1.0,10
0.0,logistic_router,0.9152284263959392,0.02232605059904668,0.1945339138622109,0.9152284263959392,0.06345177664974619,0.6248730964467005,10
0.0,linear_svm_router,0.9203045685279188,0.015143587705762745,0.2086880867287005,0.9203045685279188,0.058375634517766506,0.8583756345177666,10
0.0,knn_router,0.9345177664974619,0.015773294330181282,0.21450994404140653,0.9345177664974619,0.04416243654822335,0.9558375634517766,10
0.0,decision_tree_router,0.9197969543147207,0.024379578550697643,0.19140800168730113,0.9197969543147207,0.05888324873096447,0.5736040609137055,10
0.0,random_forest_router,0.9274111675126904,0.017097215673866836,0.210628476943778,0.9274111675126904,0.051269035532994923,0.9071065989847715,10
0.0,extra_trees_router,0.9187817258883249,0.014357498095158334,0.2009629760218139,0.9187817258883249,0.05989847715736041,0.769035532994924,10
0.0,mlp_router,0.9319796954314722,0.015544750020786265,0.2129395996041606,0.9319796954314722,0.046700507614213196,0.9380710659898478,10
0.0,tfidf_logistic_router,0.9238578680203047,0.018841842175397718,0.20032424694399156,0.9238578680203047,0.05482233502538071,0.797969543147208,10
0.0,tfidf_linear_svm_router,0.9335025380710661,0.01577329433018128,0.2141287585165989,0.9335025380710661,0.045177664974619294,0.9461928934010153,10
0.0,tfidf_mlp_router,0.9340101522842639,0.01640500797772024,0.21438089273890976,0.9340101522842639,0.04467005076142132,0.949746192893401,10
0.05,always_gemini_flash_lite,0.9345177664974619,0.015773294330181282,0.21450994404140653,0.9237922692953916,0.05322374014851098,0.01116751269035533,10
0.05,always_gemini_flash,0.8766497461928934,0.01675895839514637,0.33610041221406656,0.85984472558219,0.1171712838617125,0.0,10
0.05,always_qwen_30b,0.8974619289340101,0.01654403595476185,0.044282710859242076,0.895247793391048,0.08176821605285453,0.29949238578680204,10
0.05,always_llama_70b,0.8964467005076141,0.01976149078938265,0.09533566256825737,0.8916799173792015,0.08533609206470123,0.03401015228426396,10
0.05,always_deepseek_v3,0.9050761421319796,0.013333934554886993,0.12467466948120831,0.8988424086579192,0.07817360078598332,0.01065989847715736,10
0.05,always_granite_8b,0.8421319796954314,0.015219023229623586,0.02809467574629257,0.8407272459081169,0.13628876353578576,0.6446700507614214,10
0.05,random,0.8878172588832488,0.017330067856608285,0.14072933857084885,0.8807807919547063,0.09623521748919629,0.15989847715736039,10
0.05,oracle,0.9786802030456853,0.010913377662671461,0.03328387203565403,0.9770160094439027,0.0,1.0,10
0.05,logistic_router,0.8771573604060914,0.016194228242308494,0.06146569083233068,0.8740840758644749,0.10293193357942773,0.3908629441624366,10
0.05,linear_svm_router,0.8563451776649746,0.014166792344456487,0.04681672350332121,0.8540043414898086,0.12301166795409404,0.49238578680203043,10
0.05,knn_router,0.8411167512690355,0.01709721567386684,0.02911643908273471,0.8396609293148988,0.13735508012900377,0.618781725888325,10
0.05,decision_tree_router,0.8903553299492385,0.023347801435750035,0.06766722844775416,0.8869719685268509,0.09004404091705172,0.32436548223350253,10
0.05,random_forest_router,0.8532994923857867,0.009705333603857863,0.04043683086408327,0.8512776508425827,0.12573835860131993,0.4812182741116751,10
0.05,extra_trees_router,0.8654822335025381,0.008375207222175678,0.05191299915990916,0.8628865835445426,0.11412942589935995,0.4370558375634518,10
0.05,mlp_router,0.8522842639593909,0.016656141729035137,0.03515529897978799,0.8505264990104013,0.12648951043350112,0.5441624365482234,10
0.05,tfidf_logistic_router,0.8593908629441624,0.016413731726264317,0.04350287873502253,0.8572157190074112,0.11980029043649125,0.4903553299492386,10
0.05,tfidf_linear_svm_router,0.8477157360406091,0.015322140673667353,0.0334447478303586,0.8460434986490913,0.13097251079481137,0.5609137055837563,10
0.05,tfidf_mlp_router,0.8477157360406091,0.011223772556194249,0.03134776752977696,0.8461483476641203,0.1308676617797823,0.586294416243655,10
0.1,always_gemini_flash_lite,0.9345177664974619,0.015773294330181282,0.21450994404140653,0.9130667720933214,0.062285043748798605,0.01116751269035533,10
0.1,always_gemini_flash,0.8766497461928934,0.01675895839514637,0.33610041221406656,0.8430397049714868,0.13231211087063316,0.0,10
0.1,always_qwen_30b,0.8974619289340101,0.01654403595476185,0.044282710859242076,0.893033657848086,0.08231815799403394,0.29949238578680204,10
0.1,always_llama_70b,0.8964467005076141,0.01976149078938265,0.09533566256825737,0.8869131342507884,0.08843868159133139,0.03401015228426396,10
0.1,always_deepseek_v3,0.9050761421319796,0.013333934554886993,0.12467466948120831,0.8926086751838588,0.08274314065826101,0.01065989847715736,10
0.1,always_granite_8b,0.8421319796954314,0.015219023229623586,0.02809467574629257,0.8393225121208022,0.13602930372131766,0.6446700507614214,10
0.1,random,0.8878172588832488,0.017330067856608285,0.14072933857084885,0.8737443250261638,0.10160749081595602,0.15989847715736039,10
0.1,oracle,0.9786802030456853,0.010913377662671461,0.03328387203565403,0.9753518158421199,0.0,1.0,10
0.1,logistic_router,0.8771573604060914,0.016194228242308494,0.06146569083233068,0.8710107913228583,0.10434102451926157,0.3908629441624366,10
0.1,linear_svm_router,0.8563451776649746,0.014166792344456487,0.04681672350332121,0.8516635053146425,0.12368831052747739,0.49238578680203043,10
0.1,knn_router,0.8411167512690355,0.01709721567386684,0.02911643908273471,0.838205107360762,0.13714670848135782,0.618781725888325,10
0.1,decision_tree_router,0.8903553299492385,0.023347801435750035,0.06766722844775416,0.8835886071044632,0.09176320873765671,0.32436548223350253,10
0.1,random_forest_router,0.8532994923857867,0.009705333603857863,0.04043683086408327,0.8492558092993784,0.1260960065427414,0.4812182741116751,10
0.1,extra_trees_router,0.8654822335025381,0.008375207222175678,0.05191299915990916,0.8602909335865473,0.11506088225557273,0.4370558375634518,10
0.1,mlp_router,0.8522842639593909,0.016656141729035137,0.03515529897978799,0.848768734061412,0.12658308178070782,0.5441624365482234,10
0.1,tfidf_logistic_router,0.8593908629441624,0.016413731726264317,0.04350287873502253,0.85504057507066,0.12031124077145972,0.4903553299492386,10
0.1,tfidf_linear_svm_router,0.8477157360406091,0.015322140673667353,0.0334447478303586,0.8443712612575733,0.13098055458454658,0.5609137055837563,10
0.1,tfidf_mlp_router,0.8477157360406091,0.011223772556194249,0.03134776752977696,0.8445809592876314,0.13077085655448842,0.586294416243655,10
0.2,always_gemini_flash_lite,0.9345177664974619,0.015773294330181282,0.21450994404140653,0.8916157776891804,0.08040765094937385,0.01116751269035533,10
0.2,always_gemini_flash,0.8766497461928934,0.01675895839514637,0.33610041221406656,0.8094296637500802,0.16259376488847438,0.0,10
0.2,always_qwen_30b,0.8974619289340101,0.01654403595476185,0.044282710859242076,0.8886053867621617,0.08341804187639273,0.29949238578680204,10
0.2,always_llama_70b,0.8964467005076141,0.01976149078938265,0.09533566256825737,0.8773795679939627,0.09464386064459174,0.03401015228426396,10
0.2,always_deepseek_v3,0.9050761421319796,0.013333934554886993,0.12467466948120831,0.880141208235738,0.09188222040281643,0.01065989847715736,10
0.2,always_granite_8b,0.8421319796954314,0.015219023229623586,0.02809467574629257,0.836513044546173,0.13551038409238153,0.6446700507614214,10
0.2,random,0.8878172588832488,0.017330067856608285,0.14072933857084885,0.859671391169079,0.11235203746947553,0.15989847715736039,10
0.2,oracle,0.9786802030456853,0.010913377662671461,0.03328387203565403,0.9720234286385544,0.0,1.0,10
0.2,logistic_router,0.8771573604060914,0.016194228242308494,0.06146569083233068,0.8648642222396253,0.10715920639892924,0.3908629441624366,10
0.2,linear_svm_router,0.8563451776649746,0.014166792344456487,0.04681672350332121,0.8469818329643104,0.1250415956742441,0.49238578680203043,10
0.2,knn_router,0.8411167512690355,0.01709721567386684,0.02911643908273471,0.8352934634524886,0.1367299651860659,0.618781725888325,10
0.2,decision_tree_router,0.8903553299492385,0.023347801435750035,0.06766722844775416,0.8768218842596877,0.09520154437886671,0.32436548223350253,10
0.2,random_forest_router,0.8532994923857867,0.009705333603857863,0.04043683086408327,0.8452121262129701,0.1268113024255843,0.4812182741116751,10
0.2,extra_trees_router,0.8654822335025381,0.008375207222175678,0.05191299915990916,0.8550996336705563,0.11692379496799823,0.4370558375634518,10
0.2,mlp_router,0.8522842639593909,0.016656141729035137,0.03515529897978799,0.8452532041634331,0.1267702244751212,0.5441624365482234,10
0.2,tfidf_logistic_router,0.8593908629441624,0.016413731726264317,0.04350287873502253,0.850690287197158,0.12133314144139655,0.4903553299492386,10
0.2,tfidf_linear_svm_router,0.8477157360406091,0.015322140673667353,0.0334447478303586,0.8410267864745373,0.13099664216401707,0.5609137055837563,10
0.2,tfidf_mlp_router,0.8477157360406091,0.011223772556194249,0.03134776752977696,0.8414461825346538,0.13057724610390076,0.586294416243655,10
0.3,always_gemini_flash_lite,0.9345177664974619,0.015773294330181282,0.21450994404140653,0.87016478328504,0.0985302581499491,0.01116751269035533,10
0.3,always_gemini_flash,0.8766497461928934,0.01675895839514637,0.33610041221406656,0.7758196225286735,0.19287541890631563,0.0,10
0.3,always_qwen_30b,0.8974619289340101,0.01654403595476185,0.044282710859242076,0.8841771156762374,0.08451792575875154,0.29949238578680204,10
0.3,always_llama_70b,0.8964467005076141,0.01976149078938265,0.09533566256825737,0.8678460017371371,0.10084903969785208,0.03401015228426396,10
0.3,always_deepseek_v3,0.9050761421319796,0.013333934554886993,0.12467466948120831,0.8676737412876172,0.10102130014737187,0.01065989847715736,10
0.3,always_granite_8b,0.8421319796954314,0.015219023229623586,0.02809467574629257,0.8337035769715436,0.1349914644634454,0.6446700507614214,10
0.3,random,0.8878172588832488,0.017330067856608285,0.14072933857084885,0.8455984573119941,0.123096584122995,0.15989847715736039,10
0.3,oracle,0.9786802030456853,0.010913377662671461,0.03328387203565403,0.9686950414349891,0.0,1.0,10
0.3,logistic_router,0.8771573604060914,0.016194228242308494,0.06146569083233068,0.8587176531563921,0.1099773882785969,0.3908629441624366,10
0.3,linear_svm_router,0.8563451776649746,0.014166792344456487,0.04681672350332121,0.8423001606139782,0.12639488082101083,0.49238578680203043,10
0.3,knn_router,0.8411167512690355,0.01709721567386684,0.02911643908273471,0.8323818195442151,0.13631322189077394,0.618781725888325,10
0.3,decision_tree_router,0.8903553299492385,0.023347801435750035,0.06766722844775416,0.8700551614149123,0.09863988002007675,0.32436548223350253,10
0.3,random_forest_router,0.8532994923857867,0.009705333603857863,0.04043683086408327,0.8411684431265618,0.12752659830842725,0.4812182741116751,10
0.3,extra_trees_router,0.8654822335025381,0.008375207222175678,0.05191299915990916,0.8499083337545654,0.11878670768042376,0.4370558375634518,10
0.3,mlp_router,0.8522842639593909,0.016656141729035137,0.03515529897978799,0.8417376742654543,0.1269573671695346,0.5441624365482234,10
0.3,tfidf_logistic_router,0.8593908629441624,0.016413731726264317,0.04350287873502253,0.8463399993236557,0.12235504211133338,0.4903553299492386,10
0.3,tfidf_linear_svm_router,0.8477157360406091,0.015322140673667353,0.0334447478303586,0.8376823116915016,0.13101272974348752,0.5609137055837563,10
0.3,tfidf_mlp_router,0.8477157360406091,0.011223772556194249,0.03134776752977696,0.8383114057816762,0.130383635653313,0.586294416243655,10
