policy,accuracy,avg_cost,utility,regret,route_acc
always_cheap_direct,0.68,1.0,0.6300000000000002,0.13866666666666666,0.7866666666666666
always_strong_reasoning,0.8533333333333334,8.0,0.4533333333333334,0.3153333333333334,0.21333333333333335
random,0.7333333333333333,4.453333333333333,0.5106666666666666,0.258,0.4266666666666667
oracle,0.8933333333333333,2.493333333333333,0.7686666666666668,0.0,1.0
logistic_router,0.6933333333333334,3.4266666666666667,0.5220000000000001,0.24666666666666667,0.52
random_forest_router,0.68,1.6533333333333333,0.5973333333333335,0.17133333333333334,0.6933333333333334
mlp_router,0.7066666666666667,1.84,0.6146666666666668,0.154,0.72
tfidf_logistic_router,0.6933333333333334,2.8666666666666667,0.55,0.21866666666666665,0.6
tfidf_mlp_router,0.68,1.4666666666666666,0.6066666666666668,0.162,0.72
