group,models,seed,policy,n_test,n_decidable,decidable_share,router_acc_full,router_acc_decidable,decidable_lift_pp,router_disagrees_with_best_fixed_share,router_correct_when_disagrees_share
gemini_flash_llama,"gemini_flash,llama_70b",229,always_llama_70b,197,22,0.1116751269035533,0.8781725888324873,0.5454545454545454,0.0,0.0,
gemini_flash_llama,"gemini_flash,llama_70b",229,oracle,197,22,0.1116751269035533,0.9289340101522843,1.0,45.45454545454546,0.9390862944162437,
gemini_flash_llama,"gemini_flash,llama_70b",229,logistic_router,197,22,0.1116751269035533,0.8883248730964467,0.6363636363636364,9.090909090909093,0.7868020304568528,0.896774193548387
gemini_flash_llama,"gemini_flash,llama_70b",229,linear_svm_router,197,22,0.1116751269035533,0.8629441624365483,0.4090909090909091,-13.63636363636363,0.8527918781725888,0.8630952380952381
gemini_flash_llama,"gemini_flash,llama_70b",229,knn_router,197,22,0.1116751269035533,0.868020304568528,0.45454545454545453,-9.090909090909088,1.0,0.868020304568528
gemini_flash_llama,"gemini_flash,llama_70b",229,decision_tree_router,197,22,0.1116751269035533,0.8883248730964467,0.6363636363636364,9.090909090909093,0.766497461928934,0.8874172185430463
gemini_flash_llama,"gemini_flash,llama_70b",229,random_forest_router,197,22,0.1116751269035533,0.8984771573604061,0.7272727272727273,18.181818181818187,0.8883248730964467,0.8914285714285715
gemini_flash_llama,"gemini_flash,llama_70b",229,extra_trees_router,197,22,0.1116751269035533,0.9035532994923858,0.7727272727272727,22.72727272727273,0.7918781725888325,0.8910256410256411
gemini_flash_llama,"gemini_flash,llama_70b",229,mlp_router,197,22,0.1116751269035533,0.8883248730964467,0.6363636363636364,9.090909090909093,0.949238578680203,0.8823529411764706
gemini_flash_llama,"gemini_flash,llama_70b",229,tfidf_logistic_router,197,22,0.1116751269035533,0.883248730964467,0.5909090909090909,4.545454545454552,0.8730964467005076,0.8895348837209303
gemini_flash_llama,"gemini_flash,llama_70b",229,tfidf_linear_svm_router,197,22,0.1116751269035533,0.868020304568528,0.45454545454545453,-9.090909090909088,0.9796954314720813,0.8704663212435233
gemini_flash_llama,"gemini_flash,llama_70b",229,tfidf_mlp_router,197,22,0.1116751269035533,0.8730964467005076,0.5,-4.545454545454541,0.9898477157360406,0.8717948717948718
gemini_flash_llama,"gemini_flash,llama_70b",230,always_llama_70b,197,27,0.13705583756345177,0.9187817258883249,0.5555555555555556,0.0,0.0,
gemini_flash_llama,"gemini_flash,llama_70b",230,oracle,197,27,0.13705583756345177,0.9796954314720813,1.0,44.44444444444444,0.9238578680203046,
gemini_flash_llama,"gemini_flash,llama_70b",230,logistic_router,197,27,0.13705583756345177,0.934010152284264,0.6666666666666666,11.111111111111105,0.7918781725888325,0.9423076923076923
gemini_flash_llama,"gemini_flash,llama_70b",230,linear_svm_router,197,27,0.13705583756345177,0.9238578680203046,0.5925925925925926,3.703703703703698,0.8274111675126904,0.9202453987730062
gemini_flash_llama,"gemini_flash,llama_70b",230,knn_router,197,27,0.13705583756345177,0.9035532994923858,0.4444444444444444,-11.111111111111116,1.0,0.9035532994923858
gemini_flash_llama,"gemini_flash,llama_70b",230,decision_tree_router,197,27,0.13705583756345177,0.9441624365482234,0.7407407407407407,18.518518518518512,0.8477157360406091,0.9461077844311377
gemini_flash_llama,"gemini_flash,llama_70b",230,random_forest_router,197,27,0.13705583756345177,0.934010152284264,0.6666666666666666,11.111111111111105,0.9035532994923858,0.9325842696629213
gemini_flash_llama,"gemini_flash,llama_70b",230,extra_trees_router,197,27,0.13705583756345177,0.9390862944162437,0.7037037037037037,14.814814814814813,0.7817258883248731,0.948051948051948
