bucket,group,models,feature_set,policy,accuracy_mean,accuracy_std,utility_mean,regret_mean,avg_cost_mean,route_acc_mean,n_seeds
feature_ablation,llama_granite,"llama_70b,granite_8b",metadata,always_llama_70b,0.895093062605753,0.02083728504277656,0.895093062605753,0.04805414551607445,5.354493147208122e-05,0.9519458544839254,30
feature_ablation,llama_granite,"llama_70b,granite_8b",metadata,always_granite_8b,0.846362098138748,0.025220334662901616,0.846362098138748,0.09678510998307956,1.5969788494077833e-05,0.04805414551607445,30
feature_ablation,llama_granite,"llama_70b,granite_8b",metadata,random,0.8688663282571912,0.020869241364761714,0.8688663282571912,0.07428087986463619,3.439050118443316e-05,0.49424703891708965,30
feature_ablation,llama_granite,"llama_70b,granite_8b",metadata,oracle,0.9431472081218273,0.016402600609891915,0.9431472081218273,0.0,5.1696434856175965e-05,1.0,30
feature_ablation,llama_granite,"llama_70b,granite_8b",metadata,logistic_router,0.8957698815566837,0.02296322812822717,0.8957698815566837,0.04737732656514382,4.823502978003385e-05,0.8255499153976309,30
feature_ablation,llama_granite,"llama_70b,granite_8b",metadata,linear_svm_router,0.8962774957698817,0.022766988067773504,0.8962774957698817,0.04686971235194584,4.898626395939087e-05,0.8401015228426396,30
feature_ablation,llama_granite,"llama_70b,granite_8b",metadata,knn_router,0.8934010152284265,0.02120362101939849,0.8934010152284265,0.04974619289340101,5.343144686971235e-05,0.9477157360406089,30
feature_ablation,llama_granite,"llama_70b,granite_8b",metadata,decision_tree_router,0.890693739424704,0.019488836053855117,0.890693739424704,0.05245346869712352,4.654958409475466e-05,0.7974619289340101,30
feature_ablation,llama_granite,"llama_70b,granite_8b",metadata,random_forest_router,0.8949238578680204,0.020135388305491067,0.8949238578680204,0.048223350253807105,4.8070735532994936e-05,0.8216582064297798,30
feature_ablation,llama_granite,"llama_70b,granite_8b",metadata,extra_trees_router,0.8952622673434857,0.02054311705449856,0.8952622673434857,0.04788494077834179,4.827070676818951e-05,0.8326565143824026,30
feature_ablation,llama_granite,"llama_70b,granite_8b",metadata,mlp_router,0.8940778341793572,0.02076894721988001,0.8940778341793572,0.049069373942470386,5.303842318104907e-05,0.9397631133671742,30
feature_ablation,llama_granite,"llama_70b,granite_8b",metadata+cheap_probe,always_llama_70b,0.895093062605753,0.02083728504277656,0.895093062605753,0.04805414551607445,5.354493147208122e-05,0.9519458544839254,30
feature_ablation,llama_granite,"llama_70b,granite_8b",metadata+cheap_probe,always_granite_8b,0.846362098138748,0.025220334662901616,0.846362098138748,0.09678510998307956,1.5969788494077833e-05,0.04805414551607445,30
feature_ablation,llama_granite,"llama_70b,granite_8b",metadata+cheap_probe,random,0.8688663282571912,0.020869241364761714,0.8688663282571912,0.07428087986463619,3.439050118443316e-05,0.49424703891708965,30
feature_ablation,llama_granite,"llama_70b,granite_8b",metadata+cheap_probe,oracle,0.9431472081218273,0.016402600609891915,0.9431472081218273,0.0,5.1696434856175965e-05,1.0,30
feature_ablation,llama_granite,"llama_70b,granite_8b",metadata+cheap_probe,logistic_router,0.8957698815566837,0.022095582256580783,0.8957698815566837,0.04737732656514382,4.8172014551607456e-05,0.8248730964467004,30
feature_ablation,llama_granite,"llama_70b,granite_8b",metadata+cheap_probe,linear_svm_router,0.8967851099830797,0.021091579965664353,0.8967851099830797,0.046362098138747886,4.9045389170896784e-05,0.8428087986463623,30
feature_ablation,llama_granite,"llama_70b,granite_8b",metadata+cheap_probe,knn_router,0.895093062605753,0.02083728504277656,0.895093062605753,0.04805414551607445,5.354493147208122e-05,0.9519458544839254,30
feature_ablation,llama_granite,"llama_70b,granite_8b",metadata+cheap_probe,decision_tree_router,0.8905245346869713,0.020421653201546944,0.8905245346869713,0.05262267343485617,4.6413004060913706e-05,0.7932318104906938,30
feature_ablation,llama_granite,"llama_70b,granite_8b",metadata+cheap_probe,random_forest_router,0.8917089678511,0.02049331723501904,0.8917089678511,0.05143824027072758,4.916482656514382e-05,0.8426395939086293,30
