policy,accuracy,avg_cost,utility,regret,route_acc
always_cheap_direct,0.5,1.0,0.44999999999999996,0.30000000000000004,0.5
always_escalate_strong,1.0,9.0,0.55,0.19999999999999996,0.5
random,1.0,9.0,0.55,0.19999999999999996,0.5
oracle,1.0,5.0,0.75,0.0,1.0
threshold_cheap_self_confidence_0.5,0.5,1.0,0.44999999999999996,0.30000000000000004,0.5
threshold_cheap_self_confidence_0.7,0.5,1.0,0.44999999999999996,0.30000000000000004,0.5
threshold_cheap_self_confidence_0.9,0.5,1.0,0.44999999999999996,0.30000000000000004,0.5
